y00,y01,y02,y03,y04,y05,y06,y10,y11,y12,y13,y14,y15,y16,y20,y21,y22,y23,y24,y25,y26,y30,y31,y32,y33,y34,y35,y36
0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.001502250,0.001839872,0.002057038,0.002221854,0.002356630,0.002471653,0.002572576,0.000001290,0.000002040,0.000002699,0.000003305,0.000003876,0.000004419,0.000004940,0.000000001,0.000000001,0.000000002,0.000000003,0.000000004,0.000000005,0.000000005,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.003004496,0.003679731,0.004114054,0.004443674,0.004713216,0.004943249,0.005145083,0.000004936,0.000007805,0.000010325,0.000012646,0.000014828,0.000016907,0.000018902,0.000000006,0.000000012,0.000000017,0.000000024,0.000000030,0.000000037,0.000000044,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.004506733,0.005519565,0.006171024,0.006665428,0.007069712,0.007414732,0.007717451,0.000011059,0.000017486,0.000023132,0.000028330,0.000033220,0.000037877,0.000042347,0.000000021,0.000000039,0.000000059,0.000000080,0.000000101,0.000000124,0.000000148,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.006008956,0.007359360,0.008227927,0.008887081,0.009426073,0.009886043,0.010289611,0.000019640,0.000031054,0.000041080,0.000050312,0.000058995,0.000067265,0.000075204,0.000000050,0.000000093,0.000000139,0.000000189,0.000000240,0.000000295,0.000000351,0.000000000,0.000000000,0.000000000,0.000000001,0.000000001,0.000000001,0.000000001
0.007511162,0.009199103,0.010284739,0.011108602,0.011782256,0.012357128,0.012861492,0.000030676,0.000048503,0.000064162,0.000078582,0.000092144,0.000105060,0.000117459,0.000000097,0.000000181,0.000000272,0.000000368,0.000000470,0.000000575,0.000000685,0.000000000,0.000000001,0.000000001,0.000000001,0.000000002,0.000000002,0.000000003
0.009013344,0.011038782,0.012341438,0.013329956,0.014138214,0.014827928,0.015433027,0.000044166,0.000069832,0.000092377,0.000113137,0.000132663,0.000151257,0.000169108,0.000000168,0.000000313,0.000000470,0.000000637,0.000000812,0.000000994,0.000001183,0.000000001,0.000000001,0.000000002,0.000000003,0.000000004,0.000000005,0.000000006
0.010515500,0.012878384,0.014398001,0.015551109,0.016493904,0.017298388,0.018004144,0.000060110,0.000095040,0.000125723,0.000153976,0.000180549,0.000205854,0.000230147,0.000000266,0.000000498,0.000000747,0.000001011,0.000001289,0.000001578,0.000001879,0.000000001,0.000000002,0.000000004,0.000000005,0.000000007,0.000000009,0.000000012
0.012017624,0.014717896,0.016454405,0.017772030,0.018849281,0.019768449,0.020574776,0.000078506,0.000124126,0.000164199,0.000201097,0.000235801,0.000268848,0.000300573,0.000000397,0.000000743,0.000001115,0.000001509,0.000001924,0.000002356,0.000002804,0.000000002,0.000000004,0.000000006,0.000000009,0.000000012,0.000000016,0.000000020
0.013519712,0.016557304,0.018510629,0.019992684,0.021204299,0.022238056,0.023144852,0.000099356,0.000157090,0.000207804,0.000254499,0.000298417,0.000340236,0.000380383,0.000000566,0.000001058,0.000001587,0.000002149,0.000002739,0.000003354,0.000003992,0.000000003,0.000000006,0.000000010,0.000000014,0.000000019,0.000000025,0.000000032
0.015021760,0.018396597,0.020566649,0.022213038,0.023558915,0.024707151,0.025714303,0.000122658,0.000193932,0.000256537,0.000314180,0.000368394,0.000420017,0.000469575,0.000000776,0.000001451,0.000002177,0.000002947,0.000003757,0.000004601,0.000005476,0.000000004,0.000000009,0.000000015,0.000000021,0.000000029,0.000000038,0.000000048
0.016523762,0.020235761,0.022622443,0.024433059,0.025913083,0.027175678,0.028283060,0.000148413,0.000234650,0.000310398,0.000380140,0.000445732,0.000508188,0.000568144,0.000001032,0.000001932,0.000002897,0.000003923,0.000005000,0.000006124,0.000007289,0.000000006,0.000000013,0.000000021,0.000000031,0.000000043,0.000000056,0.000000071
0.018025715,0.022074783,0.024677988,0.026652713,0.028266759,0.029643580,0.030851054,0.000176620,0.000279245,0.000369385,0.000452376,0.000530428,0.000604746,0.000676088,0.000001340,0.000002508,0.000003761,0.000005093,0.000006491,0.000007950,0.000009462,0.000000009,0.000000018,0.000000030,0.000000045,0.000000061,0.000000079,0.000000100
0.019527614,0.023913651,0.026733262,0.028871968,0.030619897,0.032110800,0.033418214,0.000207280,0.000327716,0.000433498,0.000530888,0.000622480,0.000709688,0.000793402,0.000001704,0.000003188,0.000004782,0.000006474,0.000008253,0.000010107,0.000012029,0.000000012,0.000000025,0.000000042,0.000000061,0.000000084,0.000000109,0.000000138
0.021029454,0.025752351,0.028788241,0.031090790,0.032972454,0.034577282,0.035984472,0.000240391,0.000380062,0.000502735,0.000615674,0.000721885,0.000823011,0.000920082,0.000002128,0.000003982,0.000005972,0.000008086,0.000010307,0.000012623,0.000015024,0.000000016,0.000000034,0.000000056,0.000000082,0.000000113,0.000000147,0.000000185
0.022531231,0.027590871,0.030842904,0.033309145,0.035324384,0.037042968,0.038549759,0.000275954,0.000436282,0.000577095,0.000706731,0.000828641,0.000944711,0.001056124,0.000002618,0.000004897,0.000007345,0.000009945,0.000012677,0.000015525,0.000018477,0.000000021,0.000000045,0.000000074,0.000000109,0.000000149,0.000000194,0.000000244
0.024032941,0.029429198,0.032897228,0.035527000,0.037675643,0.039507803,0.041114004,0.000313969,0.000496377,0.000656578,0.000804059,0.000942746,0.001074785,0.001201524,0.000003177,0.000005943,0.000008914,0.000012069,0.000015384,0.000018840,0.000022423,0.000000027,0.000000058,0.000000096,0.000000141,0.000000193,0.000000251,0.000000316
0.025534578,0.031267319,0.034951189,0.037744323,0.040026187,0.041971728,0.043677140,0.000354435,0.000560346,0.000741182,0.000907654,0.001064196,0.001213229,0.001356275,0.000003811,0.000007129,0.000010692,0.000014476,0.000018452,0.000022597,0.000026894,0.000000035,0.000000073,0.000000122,0.000000179,0.000000245,0.000000320,0.000000403
0.027036139,0.033105221,0.037004767,0.039961080,0.042375970,0.044434689,0.046239096,0.000397352,0.000628187,0.000830906,0.001017515,0.001192988,0.001360039,0.001520373,0.000004523,0.000008462,0.000012692,0.000017183,0.000021902,0.000026822,0.000031922,0.000000044,0.000000092,0.000000153,0.000000225,0.000000309,0.000000402,0.000000506
0.028537619,0.034942891,0.039057937,0.042177237,0.044724947,0.046896627,0.048799804,0.000442720,0.000699900,0.000925747,0.001133640,0.001329119,0.001515210,0.001693812,0.000005320,0.000009952,0.000014926,0.000020208,0.000025757,0.000031543,0.000037540,0.000000054,0.000000115,0.000000190,0.000000280,0.000000383,0.000000499,0.000000628
0.030039013,0.036780317,0.041110677,0.044392761,0.047073075,0.049357487,0.051359194,0.000490538,0.000775485,0.001025706,0.001256027,0.001472586,0.001678738,0.001876586,0.000006205,0.000011607,0.000017408,0.000023568,0.000030040,0.000036787,0.000043781,0.000000066,0.000000141,0.000000233,0.000000343,0.000000470,0.000000613,0.000000771
0.031540317,0.038617485,0.043162966,0.046607620,0.049420309,0.051817211,0.053917198,0.000540807,0.000854940,0.001130779,0.001384672,0.001623385,0.001850617,0.002068688,0.000007183,0.000013436,0.000020151,0.000027282,0.000034773,0.000042583,0.000050677,0.000000081,0.000000171,0.000000284,0.000000417,0.000000571,0.000000745,0.000000937
0.033041527,0.040454383,0.045214779,0.048821779,0.051766604,0.054275744,0.056473746,0.000593525,0.000938264,0.001240966,0.001519573,0.001781512,0.002030843,0.002270112,0.000008258,0.000015448,0.000023168,0.000031366,0.000039978,0.000048956,0.000058261,0.000000097,0.000000206,0.000000342,0.000000503,0.000000688,0.000000897,0.000001129
0.034542637,0.042290998,0.047266096,0.051035206,0.054111915,0.056733029,0.059028769,0.000648693,0.001025457,0.001356265,0.001660727,0.001946963,0.002219410,0.002480851,0.000009436,0.000017651,0.000026472,0.000035838,0.000045678,0.000055935,0.000066566,0.000000116,0.000000246,0.000000408,0.000000600,0.000000822,0.000001072,0.000001349
0.036043644,0.044127317,0.049316892,0.053247868,0.056456198,0.059189009,0.061582198,0.000706311,0.001116518,0.001476674,0.001808133,0.002119735,0.002416312,0.002700897,0.000010721,0.000020054,0.000030076,0.000040716,0.000051895,0.000063547,0.000075624,0.000000138,0.000000292,0.000000484,0.000000712,0.000000975,0.000001271,0.000001599
0.037544543,0.045963327,0.051367146,0.055459731,0.058799408,0.061643627,0.064133965,0.000766377,0.001211446,0.001602191,0.001961785,0.002299822,0.002621544,0.002930243,0.000012117,0.000022666,0.000033992,0.000046018,0.000058651,0.000071819,0.000085467,0.000000162,0.000000343,0.000000569,0.000000838,0.000001147,0.000001496,0.000001882
0.039045329,0.047799015,0.053416835,0.057670762,0.061141501,0.064096827,0.066684000,0.000828892,0.001310239,0.001732815,0.002121682,0.002487220,0.002835100,0.003168881,0.000013630,0.000025495,0.000038235,0.000051760,0.000065969,0.000080779,0.000096128,0.000000189,0.000000402,0.000000666,0.000000980,0.000001342,0.000001750,0.000002202
0.040545998,0.049634369,0.055465936,0.059880928,0.063482433,0.066548554,0.069232235,0.000893855,0.001412897,0.001868542,0.002287820,0.002681924,0.003056972,0.003416802,0.000015264,0.000028550,0.000042816,0.000057961,0.000073870,0.000090454,0.000107639,0.000000220,0.000000467,0.000000775,0.000001140,0.000001561,0.000002035,0.000002560
0.042046545,0.051469375,0.057514428,0.062090196,0.065822158,0.068998750,0.071778600,0.000961266,0.001519419,0.002009372,0.002460196,0.002883930,0.003287155,0.003673998,0.000017023,0.000031840,0.000047749,0.000064638,0.000082379,0.000100870,0.000120033,0.000000255,0.000000540,0.000000896,0.000001319,0.000001805,0.000002353,0.000002961
0.043546966,0.053304021,0.059562286,0.064298533,0.068160633,0.071447359,0.074323028,0.001031125,0.001629803,0.002155301,0.002638806,0.003093233,0.003525641,0.003940460,0.000018912,0.000035373,0.000053046,0.000071808,0.000091515,0.000112056,0.000133341,0.000000293,0.000000622,0.000001031,0.000001517,0.000002077,0.000002708,0.000003406
0.045047257,0.055138294,0.061609490,0.066505905,0.070497813,0.073894324,0.076865449,0.001103430,0.001744048,0.002306328,0.002823646,0.003309826,0.003772423,0.004216178,0.000020936,0.000039158,0.000058721,0.000079489,0.000101303,0.000124038,0.000147597,0.000000336,0.000000712,0.000001181,0.000001737,0.000002379,0.000003101,0.000003901
0.046547412,0.056972181,0.063656016,0.068712280,0.072833654,0.076339591,0.079405794,0.001178182,0.001862153,0.002462450,0.003014713,0.003533705,0.004027494,0.004501144,0.000023100,0.000043203,0.000064787,0.000087698,0.000111763,0.000136844,0.000162832,0.000000383,0.000000812,0.000001346,0.000001981,0.000002712,0.000003535,0.000004447
0.048047428,0.058805669,0.065701842,0.070917624,0.075168110,0.078783101,0.081943996,0.001255380,0.001984117,0.002623665,0.003212003,0.003764864,0.004290847,0.004795346,0.000025407,0.000047518,0.000071257,0.000096454,0.000122919,0.000150500,0.000179079,0.000000435,0.000000922,0.000001528,0.000002249,0.000003079,0.000004013,0.000005048
0.049547300,0.060638746,0.067746945,0.073121905,0.077501139,0.081224800,0.084479985,0.001335023,0.002109938,0.002789970,0.003415512,0.004003298,0.004562472,0.005098776,0.000027863,0.000052111,0.000078142,0.000105772,0.000134792,0.000165034,0.000196369,0.000000491,0.000001042,0.000001728,0.000002543,0.000003481,0.000004538,0.000005709
0.051047023,0.062471398,0.069791303,0.075325088,0.079832695,0.083664630,0.087013694,0.001417112,0.002239615,0.002961362,0.003625236,0.004248999,0.004842363,0.005411422,0.000030473,0.000056991,0.000085458,0.000115672,0.000147405,0.000180474,0.000214735,0.000000554,0.000001174,0.000001947,0.000002865,0.000003923,0.000005113,0.000006432
0.052546593,0.064303613,0.071834893,0.077527142,0.082162735,0.086102537,0.089545053,0.001501646,0.002373147,0.003137840,0.003841170,0.004501962,0.005130510,0.005733273,0.000033240,0.000062165,0.000093215,0.000126170,0.000160779,0.000196844,0.000234210,0.000000622,0.000001319,0.000002186,0.000003217,0.000004404,0.000005741,0.000007222
0.054046006,0.066135378,0.073877693,0.079728033,0.084491213,0.088538463,0.092073995,0.001588623,0.002510532,0.003319400,0.004063310,0.004762181,0.005426906,0.006064318,0.000036170,0.000067644,0.000101428,0.000137283,0.000174937,0.000214174,0.000254824,0.000000696,0.000001476,0.000002447,0.000003601,0.000004929,0.000006425,0.000008083
