E, l0, l1, l2, l3, l4, l5, l6
0.001186, 0.038725, 0.018873, 0.000826, 0.000042, 0.000002, 0.000000, 0.000000
0.002373, 0.000602, 0.043877, 0.003417, 0.000313, 0.000032, 0.000003, 0.000000
0.003559, 3.094737, 0.067374, 0.007247, 0.000862, 0.000131, 0.000016, 0.000002
0.004746, 3.045201, 0.087480, 0.011981, 0.001621, 0.000315, 0.000055, 0.000007
0.005932, 2.995850, -3.038096, 0.017458, 0.002532, 0.000573, 0.000127, 0.000022
0.007119, 2.947590, -3.026307, 0.023535, 0.003581, 0.000877, 0.000233, 0.000051
0.008305, 2.900792, -3.018526, 0.030034, 0.004787, 0.001211, 0.000366, 0.000096
0.009492, 2.855564, -3.014334, -3.104838, 0.006172, 0.001572, 0.000514, 0.000160
0.010678, 2.811880, -3.013247, -3.098084, 0.007738, 0.001972, 0.000664, 0.000238
0.011864, -0.371949, -3.014805, -3.091445, 0.009465, 0.002436, 0.000811, 0.000325
0.013051, -0.412855, -3.018614, -3.085017, -3.130281, 0.002984, 0.000955, 0.000413
0.014237, -0.452546, -3.024352, -3.078858, -3.128362, 0.003634, 0.001102, 0.000498
0.015424, -0.491119, 0.109833, -3.072997, -3.126417, 0.004389, 0.001264, 0.000574
0.016610, -0.528651, 0.100969, -3.067450, -3.124480, 0.005246, 0.001455, 0.000640
0.017797, -0.565202, 0.090832, -3.062238, -3.122569, -3.135401, 0.001686, 0.000700
0.018983, -0.600818, 0.079586, -3.057387, -3.120688, -3.134385, 0.001966, 0.000759
0.020169, -0.635534, 0.067386, -3.052934, -3.118832, -3.133315, 0.002296, 0.000823
0.021356, -0.669386, 0.054374, 0.092676, -3.116989, -3.132202, 0.002673, 0.000903
0.022542, -0.702407, 0.040683, 0.096216, -3.115148, -3.131053, -3.138501, 0.001004
0.023729, -0.734633, 0.026434, 0.099246, -3.113302, -3.129863, -3.138054, 0.001133
0.024915, -0.766106, 0.011734, 0.101744, -3.111452, -3.128625, -3.137590, 0.001294
0.026102, -0.796866, -0.003328, 0.103699, -3.109605, -3.127322, -3.137121, 0.001486
0.027288, 2.314633, -0.018676, 0.105114, -3.107777, -3.125936, -3.136655, 0.001708
0.028475, 2.285163, -0.034251, 0.106002, 0.035605, -3.124446, -3.136200, -3.139639
0.029661, 2.256273, -0.050009, 0.106387, 0.037332, -3.122834, -3.135758, -3.139377
0.030847, 2.227925, 3.075678, 0.106296, 0.038975, -3.121083, -3.135325, -3.139107
0.032034, 2.200081, 3.059649, 0.105759, 0.040515, -3.119181, -3.134896, -3.138835
0.033220, 2.172714, 3.043516, 0.104804, 0.041936, -3.117120, -3.134464, -3.138571
0.034407, 2.145796, 3.027291, 0.103457, 0.043229, -3.114895, -3.134018, -3.138319
0.035593, 2.119309, 3.010989, 0.101739, 0.044390, 0.029090, -3.133549, -3.138083
0.036780, 2.093235, 2.994622, 0.099666, 0.045418, 0.031648, -3.133048, -3.137864
0.037966, 2.067563, 2.978201, 0.097252, 0.046321, 0.034375, -3.132506, -3.137660
0.039153, 2.042284, 2.961742, -3.047090, 0.047104, 0.037273, -3.131920, -3.137468
0.040339, 2.017389, 2.945260, -3.050166, 0.047777, 0.040348, -3.131286, -3.137283
0.041525, 1.992872, 2.928769, -3.053564, 0.048348, 0.043611, -3.130606, -3.137098
0.042712, 1.968726, 2.912288, -3.057279, 0.048825, 0.047077, -3.129883, -3.136907
0.043898, 1.944942, 2.895833, -3.061305, 0.049213, 0.050767, 0.012471, -3.136703
0.045085, 1.921514, 2.879418, -3.065632, 0.049512, 0.054710, 0.013263, -3.136479
0.046271, 1.898431, 2.863059, -3.070251, 0.049724, 0.058937, 0.014079, -3.136230
0.047458, 1.875682, 2.846768, -3.075147, -3.091749, 0.063488, 0.014912, -3.135954
0.048644, 1.853256, 2.830554, -3.080306, -3.091726, 0.068407, 0.015755, -3.135649
0.049830, -1.310455, 2.814425, -3.085709, -3.091808, 0.073745, 0.016603, -3.135315
0.051017, -1.332278, 2.798386, -3.091339, -3.092001, 0.079557, 0.017452, -3.134954
0.052203, -1.353820, 2.782440, -3.097178, -3.092314, 0.085906, 0.018301, 0.007023
0.053390, -1.375096, -0.375006, -3.103206, -3.092752, 0.092860, 0.019150, 0.007428
0.054576, -1.396118, -0.390768, -3.109405, -3.093321, 0.100498, 0.020001, 0.007846
0.055763, -1.416899, -0.406441, -3.115760, -3.094025, 0.108908, 0.020858, 0.008273
0.056949, -1.437452, -0.422029, -3.122257, -3.094863, -3.023399, 0.021726, 0.008702
0.058136, -1.457785, -0.437536, -3.128882, -3.095837, -3.013117, 0.022611, 0.009130
