E, l0, l1, l2, l3, l4, l5, l6
0.002373, -2.367647, 0.162693, 0.008082, 0.000728, 0.000086, 0.000009, 0.000001
0.003559, -2.491080, -2.878984, 0.017557, 0.001925, 0.000321, 0.000050, 0.000006
0.004746, -2.596953, -2.791356, 0.029923, 0.003581, 0.000713, 0.000152, 0.000026
0.005932, -2.690362, -2.721788, 0.044860, 0.005667, 0.001215, 0.000320, 0.000071
0.007119, 0.367105, -2.670445, -3.079655, 0.008233, 0.001791, 0.000540, 0.000150
0.008305, 0.290137, -2.634907, -3.060938, 0.011323, 0.002443, 0.000786, 0.000259
0.009492, 0.218851, -2.612190, -3.041045, 0.014927, 0.003203, 0.001040, 0.000391
0.010678, 0.152210, 0.541984, -3.020348, -3.122610, 0.004110, 0.001303, 0.000530
0.011864, 0.089478, 0.546611, -2.999139, -3.118184, 0.005183, 0.001590, 0.000667
0.013051, 0.030123, 0.545008, -2.977676, -3.113452, 0.006416, 0.001923, 0.000794
0.014237, -0.026258, 0.538546, -2.956223, -3.108449, -3.133814, 0.002328, 0.000916
0.015424, -0.079989, 0.528315, -2.935066, -3.103173, -3.132362, 0.002818, 0.001042
0.016610, -0.131342, 0.515185, 0.227094, -3.097605, -3.130858, 0.003395, 0.001189
0.017797, -0.180563, 0.499840, 0.246797, -3.091722, -3.129324, -3.137547, 0.001371
0.018983, 2.913720, 0.482812, 0.265410, -3.085514, -3.127767, -3.136844, 0.001601
0.020169, 2.868122, 0.464500, 0.282767, -3.078993, -3.126175, -3.136111, 0.001885
0.021356, 2.824060, 0.445202, 0.298773, -3.072196, -3.124525, -3.135371, 0.002219
0.022542, 2.781380, -2.716455, 0.313388, 0.076419, -3.122792, -3.134635, -3.138999
0.023729, 2.739956, -2.737126, 0.326616, 0.083603, -3.120952, -3.133907, -3.138596
0.024915, 2.699684, -2.758281, 0.338482, 0.090891, -3.118993, -3.133181, -3.138183
0.026102, 2.660482, -2.779823, 0.349024, 0.098232, -3.116915, -3.132440, -3.137775
0.027288, 2.622285, -2.801669, 0.358279, 0.105589, 0.026866, -3.131666, -3.137382
0.028475, 2.585040, -2.823745, 0.366279, 0.112939, 0.029142, -3.130837, -3.137012
0.029661, 2.548703, -2.845980, -2.768539, 0.120273, 0.031482, -3.129937, -3.136663
0.030847, 2.513236, -2.868311, -2.762961, 0.127588, 0.033861, -3.128953, -3.136331
0.032034, 2.478599, -2.890676, -2.758546, 0.134882, 0.036256, -3.127881, -3.136004
0.033220, 2.444754, -2.913025, -2.755253, 0.142153, 0.038652, -3.126723, -3.135669
0.034407, 2.411661, -2.935311, -2.753035, 0.149390, 0.041041, 0.016105, -3.135313
0.035593, -0.762314, -2.957501, -2.751833, 0.156575, 0.043425, 0.017407, -3.134922
0.036780, -0.794030, -2.979568, -2.751579, -2.977911, 0.045809, 0.018759, -3.134487
0.037966, -0.825121, -3.001496, -2.752204, -2.970914, 0.048205, 0.020149, -3.134002
0.039153, -0.855630, 0.118316, -2.753634, -2.964063, 0.050626, 0.021565, -3.133467
0.040339, -0.885594, 0.096685, -2.755797, -2.957392, 0.053083, 0.023002, 0.008708
0.041525, -0.915049, 0.075201, -2.758626, -2.950936, 0.055585, 0.024458, 0.009330
0.042712, -0.944026, 0.053857, -2.762061, -2.944719, 0.058135, 0.025938, 0.009982
0.043898, -0.972549, 0.032649, -2.766051, -2.938762, 0.060731, 0.027449, 0.010652
0.045085, -1.000641, 0.011569, -2.770550, -2.933076, -3.078227, 0.029003, 0.011329
0.046271, -1.028317, -0.009385, 0.366069, -2.927666, -3.075564, 0.030616, 0.012005
0.047458, -1.055589, -0.030216, 0.360651, -2.922530, -3.072889, 0.032301, 0.012672
0.048644, -1.082466, -0.050923, 0.354811, -2.917661, -3.070218, 0.034072, 0.013326
0.049830, -1.108956, -0.071500, 0.348570, -2.913052, -3.067567, 0.035941, 0.013966
0.051017, -1.135064, -0.091944, 0.341947, -2.908694, -3.064950, 0.037917, 0.014597
0.052203, -1.160796, -0.112245, 0.334958, -2.904580, -3.062379, 0.040003, 0.015222
0.053390, -1.186158, -0.132396, 0.327624, -2.900705, -3.059860, -3.099390, 0.015851
0.054576, -1.211158, -0.152388, 0.319963, -2.897069, -3.057398, -3.097078, 0.016492
0.055763, -1.235804, -0.172215, 0.311998, 0.247920, -3.054993, -3.094658, 0.017155
0.056949, -1.260106, -0.191872, 0.303751, 0.251070, -3.052639, -3.092134, 0.017848
0.058136, 1.857515, -0.211353, 0.295248, 0.253966, -3.050332, -3.089510, 0.018577
0.059322, 1.833862, -0.230659, 0.286514, 0.256602, -3.048065, -3.086790, 0.019349
0.060508, 1.810513, -0.249790, 0.277573, 0.258967, -3.045829, -3.083975, 0.020166
0.061695, 1.787452, 2.872844, 0.268450, 0.261054, -3.043617, -3.081064, 0.021029
0.062881, 1.764665, 2.854051, 0.259169, 0.262860, -3.041426, -3.078051, -3.119659
0.064068, 1.742137, 2.835417, 0.249748, 0.264380, -3.039253, -3.074929, -3.118716
0.065254, 1.719854, 2.816935, 0.240206, 0.265617, -3.037098, -3.071685, -3.117741
0.066441, 1.697805, 2.798596, 0.230557, 0.266573, 0.106630, -3.068303, -3.116741
0.067627, 1.675978, 2.780392, 0.220814, 0.267257, 0.108738, -3.064765, -3.115724
0.068814, 1.654364, 2.762314, -2.930609, 0.267679, 0.110812, -3.061050, -3.114696
0.070000, 1.632957, 2.744356, -2.940519, 0.267850, 0.112844, -3.057136, -3.113664
0.071186, 1.611751, 2.726511, -2.950506, 0.267784, 0.114822, -3.052996, -3.112633
0.072373, 1.590742, 2.708777, -2.960568, 0.267494, 0.116738, -3.048607, -3.111605
0.073559, 1.569928, 2.691149, -2.970703, 0.266994, 0.118581, -3.043942, -3.110581
0.074746, 1.549309, 2.673627, -2.980912, 0.266297, 0.120346, -3.038975, -3.109562
0.075932, 1.528883, 2.656211, -2.991194, 0.265412, 0.122024, -3.033679, -3.108543
0.077119, 1.508652, 2.638903, -3.001548, 0.264350, 0.123614, 0.113569, -3.107522
0.078305, 1.488616, 2.621704, -3.011974, 0.263117, 0.125113, 0.119612, -3.106491
0.079491, 1.468775, 2.604619, -3.022468, -2.879875, 0.126523, 0.126076, -3.105445
0.080678, 1.449128, 2.587651, -3.033027, -2.881437, 0.127845, 0.133001, -3.104377
0.081864, 1.429675, 2.570803, -3.043647, -2.883162, 0.129085, 0.140427, -3.103281
0.083051, 1.410414, 2.554078, -3.054320, -2.885049, 0.130248, 0.148408, -3.102150
0.084237, 1.391342, 2.537479, -3.065039, -2.887099, 0.131339, 0.157003, -3.100981
0.085424, -1.769138, 2.521007, -3.075798, -2.889313, 0.132366, 0.166285, -3.099770
0.086610, -1.787844, 2.504662, -3.086587, -2.891693, 0.133333, 0.176342, -3.098513
0.087797, -1.806376, 2.488445, -3.097398, -2.894239, 0.134247, 0.187282, 0.044380
0.088983, -1.824740, -0.669238, -3.108222, -2.896950, 0.135110, 0.199234, 0.045725
0.090169, -1.842943, -0.685206, -3.119052, -2.899827, 0.135925, 0.212355, 0.047112
0.091356, -1.860991, -0.701055, -3.129881, -2.902864, 0.136692, 0.226837, 0.048536
0.092542, -1.878893, -0.716789, -3.140703, -2.906059, -3.004181, 0.242915, 0.049995
0.093729, -1.896656, -0.732413, 3.131673, -2.909405, -3.003512, 0.260876, 0.051481
0.094915, -1.914286, -0.747933, 3.120880, -2.912896, -3.002896, 0.281075, 0.052991
0.096102, -1.931789, -0.763354, -0.031487, -2.916523, -3.002340, 0.303957, 0.054519
0.097288, -1.949172, -0.778682, -0.042242, -2.920279, -3.001847, 0.330075, 0.056061
0.098475, -1.966438, -0.793923, -0.052977, -2.924154, -3.001423, 0.360136, 0.057613
0.099661, -1.983592, -0.809081, -0.063694, -2.928138, -3.001074, 0.395043, 0.059173
0.100847, -2.000636, -0.824161, -0.074394, -2.932223, -3.000805, -2.705632, 0.060739
0.102034, -2.017573, -0.839166, -0.085080, -2.936401, -3.000620, -2.657185, 0.062311
0.103220, -2.034404, -0.854098, -0.095754, -2.940663, -3.000521, -2.599229, 0.063889
0.104407, -2.051127, -0.868960, -0.106421, -2.945004, -3.000512, -2.529192, 0.065477
0.105593, -2.067744, -0.883753, -0.117082, -2.949416, -3.000593, -2.443813, 0.067078
0.106780, -2.084253, -0.898476, -0.127740, -2.953897, -3.000763, -2.339174, 0.068695
0.107966, -2.100653, -0.913128, -0.138398, 0.183150, -3.001020, -2.211133, 0.070335
0.109152, -2.116942, -0.927709, -0.149057, 0.178541, -3.001362, -2.056630, 0.072001
0.110339, -2.133119, -0.942216, -0.159718, 0.173870, -3.001784, -1.876209, 0.073700
0.111525, -2.149181, -0.956647, -0.170381, 0.169137, -3.002283, -1.676955, 0.075436
0.112712, -2.165129, -0.971000, -0.181045, 0.164341, -3.002851, -1.472820, 0.077214
0.113898, -2.180960, -0.985271, -0.191709, 0.159479, -3.003485, -1.279844, 0.079039
0.115085, -2.196674, -0.999459, -0.202369, 0.154552, -3.004179, -1.109489, 0.080914
0.116271, -2.212273, -1.013562, -0.213024, 0.149556, -3.004927, 2.175667, 0.082840
0.117458, 0.913837, -1.027577, -0.223669, 0.144491, -3.005726, 2.293726, -3.056773
0.118644, 0.898468, -1.041504, -0.234301, 0.139354, -3.006571, 2.390010, -3.054740
0.119830, 0.883212, -1.055342, -0.244915, 0.134145, -3.007459, 2.468665, -3.052655
0.121017, 0.868064, 2.072503, -0.255508, 0.128864, 0.133203, 2.533364, -3.050518
0.122203, 0.853022, 2.058843, -0.266076, 0.123511, 0.132233, 2.587083, -3.048333
0.123390, 0.838083, 2.045270, -0.276614, 0.118087, 0.131222, 2.632136, -3.046102
0.124576, 0.823242, 2.031782, -0.287119, 0.112596, 0.130169, 2.670300, -3.043828
0.125763, 0.808495, 2.018377, -0.297589, 0.107039, 0.129073, 2.702937, -3.041517
0.126949, 0.793837, 2.005052, -0.308021, 0.101420, 0.127932, 2.731094, -3.039170
0.128136, 0.779265, 1.991802, -0.318414, 0.095744, 0.126741, 2.755586, -3.036791
0.129322, 0.764773, 1.978625, 2.812826, 0.090016, 0.125499, 2.777049, -3.034382
0.130508, 0.750358, 1.965516, 2.802515, 0.084240, 0.124201, 2.795989, -3.031947
0.131695, 0.736017, 1.952472, 2.792243, 0.078421, 0.122845, 2.812809, -3.029486
0.132881, 0.721745, 1.939489, 2.782009, 0.072566, 0.121427, 2.827834, -3.026999
0.134068, 0.707539, 1.926563, 2.771813, 0.066678, 0.119944, 2.841330, -3.024487
0.135254, 0.693399, 1.913690, 2.761651, 0.060764, 0.118396, 2.853513, -3.021947
0.136441, 0.679322, 1.900868, 2.751522, 0.054826, 0.116779, 2.864563, -3.019378
0.137627, 0.665307, 1.888095, 2.741421, 0.048870, 0.115095, 2.874629, -3.016775
0.138813, 0.651353, 1.875368, 2.731347, 0.042899, 0.113343, 2.883835, -3.014136
0.140000, 0.637460, 1.862686, 2.721295, -3.104679, 0.111524, -0.249308, -3.011455
0.141186, 0.623630, 1.850048, 2.711264, -3.110675, 0.109640, -0.241526, -3.008728
