E, sigma_tot
0.001186, 0.957698
0.002373, 1.086235
0.003559, 1.994220
0.004746, 3.064149
0.005932, 4.074353
0.007119, 4.950444
0.008305, 5.682064
0.009492, 6.285368
0.010678, 6.784181
0.011864, 7.201376
0.013051, 7.555881
0.014237, 7.862352
0.015424, 8.131805
0.016610, 8.372412
0.017797, 8.590185
0.018983, 8.789502
0.020169, 8.973511
0.021356, 9.144461
0.022542, 9.303982
0.023729, 9.453309
0.024915, 9.593467
0.026102, 9.725391
0.027288, 9.849991
0.028475, 9.968183
0.029661, 10.080877
0.030847, 10.188962
0.032034, 10.293275
0.033220, 10.394583
0.034407, 10.493567
0.035593, 10.590817
0.036780, 10.686841
0.037966, 10.782079
0.039153, 10.876920
0.040339, 10.971732
0.041525, 11.066887
0.042712, 11.162791
0.043898, 11.259908
0.045085, 11.358791
0.046271, 11.460104
0.047458, 11.564647
0.048644, 11.673382
0.049830, 11.787458
0.051017, 11.908248
0.052203, 12.037390
0.053390, 12.176839
0.054576, 12.328942
0.055763, 12.496536
0.056949, 12.683083
0.058136, 12.892850
0.059322, 13.131170
0.060508, 13.404789
0.061695, 13.722355
0.062881, 14.095113
0.064068, 14.537870
0.065254, 15.070395
0.066441, 15.719413
0.067627, 16.521507
0.068814, 17.527311
0.070000, 18.807535
0.071186, 20.461359
0.072373, 22.627273
0.073559, 25.494338
0.074746, 29.305152
0.075932, 34.324006
0.077119, 40.707282
0.078305, 48.180505
0.079491, 55.551807
0.080678, 60.636175
0.081864, 61.499294
0.083051, 58.187177
0.084237, 52.528898
0.085424, 46.435131
0.086610, 40.964429
0.087797, 36.442725
0.088983, 32.835509
0.090169, 29.991423
0.091356, 27.748876
0.092542, 25.970539
0.093729, 24.548880
0.094915, 23.402373
0.096102, 22.469848
0.097288, 21.705401
0.098475, 21.074385
0.099661, 20.550427
0.100847, 20.113252
0.102034, 19.747109
0.103220, 19.439631
0.104407, 19.181009
0.105593, 18.963381
0.106780, 18.780391
0.107966, 18.626854
0.109152, 18.498503
0.110339, 18.391809
0.111525, 18.303828
0.112712, 18.232096
0.113898, 18.174543
0.115085, 18.129421
0.116271, 18.095252
0.117458, 18.070789
0.118644, 18.054975
0.119830, 18.046917
0.121017, 18.045862
0.122203, 18.051176
0.123390, 18.062326
0.124576, 18.078868
0.125763, 18.100429
0.126949, 18.126702
0.128136, 18.157428
0.129322, 18.192396
0.130508, 18.231430
0.131695, 18.274381
0.132881, 18.321126
0.134068, 18.371560
0.135254, 18.425594
0.136441, 18.483149
0.137627, 18.544156
0.138813, 18.608553
0.140000, 18.676284
0.141186, 18.747299
0.142373, 18.821554
0.143559, 18.899009
0.144746, 18.979634
0.145932, 19.063403
0.147119, 19.150301
0.148305, 19.240322
0.149491, 19.333472
0.150678, 19.429771
0.151864, 19.529249
0.153051, 19.631954
0.154237, 19.737949
0.155424, 19.847314
0.156610, 19.960144
0.157797, 20.076552
0.158983, 20.196668
0.160169, 20.320637
0.161356, 20.448622
0.162542, 20.580797
0.163729, 20.717353
0.164915, 20.858491
0.166102, 21.004424
0.167288, 21.155374
0.168474, 21.311570
0.169661, 21.473249
0.170847, 21.640651
0.172034, 21.814019
0.173220, 21.993598
0.174407, 22.179633
0.175593, 22.372370
0.176780, 22.572051
0.177966, 22.778916
0.179152, 22.993204
0.180339, 23.215147
0.181525, 23.444977
0.182712, 23.682918
0.183898, 23.929191
0.185085, 24.184012
0.186271, 24.447591
0.187458, 24.720128
0.188644, 25.001818
0.189830, 25.292842
0.191017, 25.593370
0.192203, 25.903552
0.193390, 26.223518
0.194576, 26.553371
0.195763, 26.893181
0.196949, 27.242977
0.198135, 27.602742
0.199322, 27.972400
0.200508, 28.351809
0.201695, 28.740751
0.202881, 29.138923
0.204068, 29.545922
0.205254, 29.961241
0.206441, 30.384256
0.207627, 30.814220
0.208813, 31.250255
0.210000, 31.691349
0.211186, 32.136356
0.212373, 32.583994
0.213559, 33.032853
0.214746, 33.481399
0.215932, 33.927991
0.217119, 34.370893
0.218305, 34.808297
0.219491, 35.238339
0.220678, 35.659129
0.221864, 36.068778
0.223051, 36.465420
0.224237, 36.847250
0.225424, 37.212541
0.226610, 37.559679
0.227796, 37.887181
0.228983, 38.193722
0.230169, 38.478146
0.231356, 38.739484
0.232542, 38.976964
0.233729, 39.190014
0.234915, 39.378264
0.236102, 39.541544
0.237288, 39.679879
0.238474, 39.793477
0.239661, 39.882724
0.240847, 39.948162
0.242034, 39.990480
0.243220, 40.010496
0.244407, 40.009142
0.245593, 39.987444
0.246780, 39.946507
0.247966, 39.887500
0.249152, 39.811636
0.250339, 39.720163
0.251525, 39.614343
0.252712, 39.495443
0.253898, 39.364723
0.255085, 39.223424
0.256271, 39.072758
0.257457, 38.913899
0.258644, 38.747979
0.259830, 38.576077
0.261017, 38.399219
0.262203, 38.218372
0.263390, 38.034439
0.264576, 37.848264
0.265763, 37.660622
0.266949, 37.472228
0.268135, 37.283734
0.269322, 37.095727
0.270508, 36.908739
0.271695, 36.723242
0.272881, 36.539657
0.274068, 36.358351
0.275254, 36.179645
0.276441, 36.003818
0.277627, 35.831106
0.278813, 35.661709
0.280000, 35.495794
0.281186, 35.333499
0.282373, 35.174932
0.283559, 35.020182
0.284746, 34.869313
0.285932, 34.722372
0.287118, 34.579392
0.288305, 34.440389
0.289491, 34.305370
0.290678, 34.174331
0.291864, 34.047259
0.293051, 33.924137
0.294237, 33.804938
0.295424, 33.689632
0.296610, 33.578187
0.297796, 33.470565
0.298983, 33.366726
0.300169, 33.266628
0.301356, 33.170227
0.302542, 33.077479
0.303729, 32.988336
0.304915, 32.902751
0.306102, 32.820677
0.307288, 32.742064
0.308474, 32.666863
0.309661, 32.595025
0.310847, 32.526499
0.312034, 32.461238
0.313220, 32.399190
0.314407, 32.340308
0.315593, 32.284542
0.316779, 32.231844
0.317966, 32.182168
0.319152, 32.135468
0.320339, 32.091698
0.321525, 32.050814
0.322712, 32.012774
0.323898, 31.977537
0.325085, 31.945063
0.326271, 31.915314
0.327457, 31.888252
0.328644, 31.863843
0.329830, 31.842051
