E, sigma_tot
0.002373, 82.955705
0.003559, 55.586587
0.004746, 45.761341
0.005932, 40.854615
0.007119, 37.346672
0.008305, 34.315260
0.009492, 31.580857
0.010678, 29.136527
0.011864, 26.992956
0.013051, 25.146813
0.014237, 23.579780
0.015424, 22.263150
0.016610, 21.162652
0.017797, 20.242652
0.018983, 19.469453
0.020169, 18.813446
0.021356, 18.250044
0.022542, 17.759645
0.023729, 17.326979
0.024915, 16.940243
0.026102, 16.590274
0.027288, 16.269909
0.028475, 15.973541
0.029661, 15.696827
0.030847, 15.436493
0.032034, 15.190178
0.033220, 14.956274
0.034407, 14.733758
0.035593, 14.522020
0.036780, 14.320704
0.037966, 14.129566
0.039153, 13.948380
0.040339, 13.776873
0.041525, 13.614706
0.042712, 13.461472
0.043898, 13.316718
0.045085, 13.179964
0.046271, 13.050733
0.047458, 12.928565
0.048644, 12.813033
0.049830, 12.703745
0.051017, 12.600348
0.052203, 12.502524
0.053390, 12.409987
0.054576, 12.322478
0.055763, 12.239764
0.056949, 12.161637
0.058136, 12.087914
0.059322, 12.018445
0.060508, 11.953113
0.061695, 11.891847
0.062881, 11.834618
0.064068, 11.781447
0.065254, 11.732405
0.066441, 11.687611
0.067627, 11.647234
0.068814, 11.611482
0.070000, 11.580606
0.071186, 11.554896
0.072373, 11.534680
0.073559, 11.520328
0.074746, 11.512254
0.075932, 11.510927
0.077119, 11.516878
0.078305, 11.530725
0.079491, 11.553186
0.080678, 11.585112
0.081864, 11.627523
0.083051, 11.681655
0.084237, 11.749020
0.085424, 11.831479
0.086610, 11.931345
0.087797, 12.051501
0.088983, 12.195569
0.090169, 12.368119
0.091356, 12.574956
0.092542, 12.823502
0.093729, 13.123318
0.094915, 13.486811
0.096102, 13.930223
0.097288, 14.474994
0.098475, 15.149643
0.099661, 15.992341
0.100847, 17.054308
0.102034, 18.403965
0.103220, 20.131055
0.104407, 22.347963
0.105593, 25.180471
0.106780, 28.729892
0.107966, 32.973901
0.109152, 37.578177
0.110339, 41.694124
0.111525, 44.066933
0.112712, 43.767265
0.113898, 40.984029
0.115085, 36.830451
0.116271, 32.454795
0.117458, 28.523557
0.118644, 25.258617
0.119830, 22.644414
0.121017, 20.580192
0.122203, 18.953285
0.123390, 17.665459
0.124576, 16.638535
0.125763, 15.812619
0.126949, 15.142488
0.128136, 14.594089
0.129322, 14.141705
0.130508, 13.765784
0.131695, 13.451349
0.132881, 13.186835
0.134068, 12.963232
0.135254, 12.773472
0.136441, 12.611966
0.137627, 12.474270
0.138813, 12.356823
0.140000, 12.256761
0.141186, 12.171765
0.142373, 12.099950
0.143559, 12.039772
0.144746, 11.989963
0.145932, 11.949469
0.147119, 11.917413
0.148305, 11.893053
0.149491, 11.875754
0.150678, 11.864972
0.151864, 11.860225
0.153051, 11.861088
0.154237, 11.867178
0.155424, 11.878145
0.156610, 11.893668
0.157797, 11.913449
0.158983, 11.937212
0.160169, 11.964698
0.161356, 11.995670
0.162542, 12.029909
0.163729, 12.067216
0.164915, 12.107416
0.166102, 12.150353
0.167288, 12.195898
0.168474, 12.243945
0.169661, 12.294416
0.170847, 12.347259
0.172034, 12.402449
0.173220, 12.459987
0.174407, 12.519900
0.175593, 12.582239
0.176780, 12.647077
0.177966, 12.714510
0.179152, 12.784649
0.180339, 12.857622
0.181525, 12.933569
0.182712, 13.012638
0.183898, 13.094984
0.185085, 13.180767
0.186271, 13.270145
0.187458, 13.363276
0.188644, 13.460312
0.189830, 13.561402
0.191017, 13.666687
0.192203, 13.776301
0.193390, 13.890369
0.194576, 14.009012
0.195763, 14.132344
0.196949, 14.260473
0.198135, 14.393506
0.199322, 14.531551
0.200508, 14.674716
0.201695, 14.823116
0.202881, 14.976872
0.204068, 15.136120
0.205254, 15.301005
0.206441, 15.471691
0.207627, 15.648359
0.208813, 15.831208
0.210000, 16.020458
0.211186, 16.216350
0.212373, 16.419141
0.213559, 16.629109
0.214746, 16.846543
0.215932, 17.071745
0.217119, 17.305023
0.218305, 17.546685
0.219491, 17.797033
0.220678, 18.056353
0.221864, 18.324913
0.223051, 18.602946
0.224237, 18.890643
0.225424, 19.188148
0.226610, 19.495538
0.227796, 19.812821
0.228983, 20.139921
0.230169, 20.476667
0.231356, 20.822790
0.232542, 21.177905
0.233729, 21.541513
0.234915, 21.912987
0.236102, 22.291570
0.237288, 22.676374
0.238474, 23.066373
0.239661, 23.460406
0.240847, 23.857177
0.242034, 24.255263
0.243220, 24.653110
0.244407, 25.049051
0.245593, 25.441309
0.246780, 25.828010
0.247966, 26.207199
0.249152, 26.576859
0.250339, 26.934927
0.251525, 27.279319
0.252712, 27.607960
0.253898, 27.918807
0.255085, 28.209888
0.256271, 28.479331
0.257457, 28.725400
0.258644, 28.946536
0.259830, 29.141384
0.261017, 29.308828
0.262203, 29.448021
0.263390, 29.558404
0.264576, 29.639722
0.265763, 29.692031
0.266949, 29.715698
0.268135, 29.711388
0.269322, 29.680045
0.270508, 29.622870
0.271695, 29.541283
0.272881, 29.436886
0.274068, 29.311426
0.275254, 29.166750
0.276441, 29.004765
0.277627, 28.827397
0.278813, 28.636558
0.280000, 28.434116
0.281186, 28.221865
0.282373, 28.001505
0.283559, 27.774629
0.284746, 27.542712
0.285932, 27.307104
0.287118, 27.069027
0.288305, 26.829581
0.289491, 26.589743
0.290678, 26.350378
0.291864, 26.112242
0.293051, 25.875995
0.294237, 25.642208
0.295424, 25.411373
0.296610, 25.183911
0.297796, 24.960180
0.298983, 24.740485
0.300169, 24.525082
0.301356, 24.314186
0.302542, 24.107978
0.303729, 23.906604
0.304915, 23.710184
0.306102, 23.518814
0.307288, 23.332566
0.308474, 23.151492
0.309661, 22.975625
0.310847, 22.804980
0.312034, 22.639555
0.313220, 22.479331
0.314407, 22.324275
0.315593, 22.174336
0.316779, 22.029450
0.317966, 21.889538
0.319152, 21.754508
0.320339, 21.624256
0.321525, 21.498664
0.322712, 21.377606
0.323898, 21.260943
0.325085, 21.148531
0.326271, 21.040216
0.327457, 20.935839
0.328644, 20.835237
0.329830, 20.738245
0.331017, 20.644693
0.332203, 20.554415
0.333390, 20.467244
0.334576, 20.383015
0.335763, 20.301570
0.336949, 20.222753
0.338135, 20.146416
0.339322, 20.072418
0.340508, 20.000626
0.341695, 19.930916
0.342881, 19.863174
0.344068, 19.797295
0.345254, 19.733185
0.346440, 19.670761
0.347627, 19.609947
0.348813, 19.550682
0.350000, 19.492911
0.351186, 19.436591
0.352373, 19.381686
0.353559, 19.328170
0.354746, 19.276023
0.355932, 19.225232
0.357118, 19.175790
0.358305, 19.127695
0.359491, 19.080947
0.360678, 19.035550
0.361864, 18.991511
0.363051, 18.948835
0.364237, 18.907528
0.365424, 18.867596
0.366610, 18.829040
0.367796, 18.791862
0.368983, 18.756059
0.370169, 18.721623
0.371356, 18.688543
0.372542, 18.656804
0.373729, 18.626385
0.374915, 18.597260
0.376101, 18.569397
0.377288, 18.542760
0.378474, 18.517309
0.379661, 18.492996
0.380847, 18.469772
0.382034, 18.447581
0.383220, 18.426364
0.384407, 18.406061
0.385593, 18.386605
0.386779, 18.367929
0.387966, 18.349966
0.389152, 18.332644
0.390339, 18.315894
0.391525, 18.299646
0.392712, 18.283830
0.393898, 18.268379
0.395085, 18.253227
0.396271, 18.238311
0.397457, 18.223573
0.398644, 18.208958
0.399830, 18.194413
0.401017, 18.179894
0.402203, 18.165360
0.403390, 18.150775
0.404576, 18.136113
0.405762, 18.121349
0.406949, 18.106467
0.408135, 18.091458
0.409322, 18.076317
0.410508, 18.061046
0.411695, 18.045655
0.412881, 18.030157
0.414068, 18.014570
0.415254, 17.998919
0.416440, 17.983231
0.417627, 17.967540
0.418813, 17.951879
0.420000, 17.936287
0.421186, 17.920804
0.422373, 17.905471
0.423559, 17.890329
0.424746, 17.875422
0.425932, 17.860790
0.427118, 17.846474
0.428305, 17.832514
0.429491, 17.818948
0.430678, 17.805810
0.431864, 17.793133
0.433051, 17.780946
0.434237, 17.769275
0.435423, 17.758142
0.436610, 17.747568
0.437796, 17.737566
0.438983, 17.728149
0.440169, 17.719324
0.441356, 17.711095
0.442542, 17.703462
0.443729, 17.696420
0.444915, 17.689964
0.446101, 17.684081
0.447288, 17.678759
0.448474, 17.673980
0.449661, 17.669723
0.450847, 17.665968
0.452034, 17.662688
0.453220, 17.659856
0.454407, 17.657444
0.455593, 17.655423
0.456779, 17.653760
0.457966, 17.652425
0.459152, 17.651386
0.460339, 17.650615
0.461525, 17.650083
0.462712, 17.649764
0.463898, 17.649638
0.465084, 17.649690
0.466271, 17.649913
0.467457, 17.650310
0.468644, 17.650901
0.469830, 17.651721
0.471017, 17.652836
0.472203, 17.654347
0.473390, 17.656408
0.474576, 17.659252
0.475762, 17.663229
0.476949, 17.668877
0.478135, 17.677049
0.479322, 17.689153
0.480508, 17.707672
0.481695, 17.737374
0.482881, 17.788394
0.484068, 17.872162
0.485254, 18.249402
0.486440, 16.458471
0.487627, 16.629764
0.488813, 16.761059
0.490000, 18.146635
0.491186, 14.019330
0.492373, 14.594259
0.493559, 22.642140
0.494745, 18.653782
0.495932, 17.940053
